x_mm,theta_deg,receiving_guide_y_mm,receiving_guide_surface_z_mm,paddle_contact_y_mm,paddle_contact_z_mm,lift_return_guide_y_mm,lift_return_guide_contact_z_mm,branch
572.0,51.4715,,,,,-132.73645610173793,77.04919570350403,COMMON
584.0,51.6958,,,,,-132.33485984137877,76.84912666741154,COMMON
596.0,51.848,,,,,-132.061608961373,76.71229458709111,COMMON
608.0,51.9398,,,,,-131.89655269721527,76.62950048864364,COMMON
620.0,51.9849,,,,,-131.81542611177113,76.58868638064962,COMMON
632.0,51.999,,,,,-131.78997437122825,76.57596713155863,COMMON
646.0,51.9967,,,,,-131.79415116199698,76.57504742439416,RETURN
658.0,51.9151,,,,,-131.94097808609257,76.57503005552067,RETURN
670.0,51.6295,,,,,-132.4535940650451,76.57435418431504,RETURN
682.0,51.0436,,,,,-133.4993774826429,76.5705509849671,RETURN
694.0,50.091,,,,,-135.18194824703374,76.55766532416638,RETURN
706.0,48.7327,,,,,-137.54272897314104,76.52425816970015,RETURN
718.0,46.9542,,,,,-140.56348903942643,76.45279937888002,RETURN
730.0,44.7628,,,,,-144.17188589619963,76.31948026467235,RETURN
742.0,42.1848,,,,,-148.24949820659276,76.09519688085935,RETURN
754.0,39.2625,,,,,-152.64307065002032,75.74791114970589,RETURN
766.0,36.0517,,,,,-157.17709146794004,75.24556859614788,RETURN
778.0,32.6191,,,,,-161.6691679369163,74.5600252504024,RETURN
790.0,29.0389,,,,,-165.9464878296422,73.67268632636923,RETURN
802.0,25.3907,,,,,-169.85949816517123,72.57776112379982,RETURN
814.0,21.7561,,,,,-173.29494923315707,71.287091379981,RETURN
826.0,18.2165,,,,,-176.18334162450577,69.83054882886549,RETURN
838.0,14.8499,,,,,-178.50165416523083,68.2564741940117,RETURN
850.0,11.7284,,,,,-180.2705721608554,66.62793031070169,RETURN
862.0,8.9152,,,,,-181.54640301525808,65.01791317749593,RETURN
874.0,6.4621,,,,,-182.41007976061857,63.50194317597173,RETURN
886.0,4.4063,,,,,-182.95406317025532,62.15022084164049,RETURN
898.0,2.7681,,,,,-183.2696363631483,61.01949713949972,RETURN
910.0,1.5478,,,,,-183.4366053551904,60.14609317738754,RETURN
922.0,0.723,,,,,-183.51637243370334,59.5407965872581,RETURN
934.0,0.246,,,,,-183.55040207257179,59.185060392762765,RETURN
946.0,0.0407,,,,,-183.56228860083567,59.03078820390731,RETURN
958.0,0.0001,,,,,-183.5644649981469,59.00008033230171,RETURN
